FASTA tag	Generic ID	Species	More name	Specimen ID	Well	18s	16s	CO1	Voucher location (Full Name)	Voucher location (Short Name)	voucher accession number	Physical voucher	Photo voucher	Other Photographs	Video	Col. Date	Latitude	Longitude	Depth (m)	Notes	In phylogeny	seq #
CWD134	CWD134	Sulculeolaria quadrivalvis	Pacific	GOC#17-13Mar03BW2	8D	AY937353	AY935311		Yale Peabody Museum	YPM	No. 35357	no	yes	yes		3/13/2003	25.45°N	109.84°W	BW	BW 2	y	60
CWD135	CWD135	Forskalia edwardsi	Pacific 1	GOC#19-13Mar03BW2	8E	AY937354	AY935312		El Colegio de la Frontera Sur Mexico	ECOSUR						3/13/2003	25.45°N	109.84°W	BW		y	61
CWD137	CWD137	Forskalia edwardsi	Pacific 2	GOC#24-BW2-#2-13Mar03	8G	AY937355	AY935313		El Colegio de la Frontera Sur Mexico	ECOSUR						3/13/2003	25.45°N	109.84°W	BW	"BW 2, f? (does this mean formosa?"	y	63
CWD140	CWD140	Hippopodius hippopus	Pacific	GOC#156-24Mar03-BW8	9B	AY937356	AY935314		El Colegio de la Frontera Sur Mexico	ECOSUR						3/24/2003	24.32°N	109.20°W	BW	BW 8	y	66
CWD141	CWD141	Stephalia dilata		26III03-GOC#188	9C	AY937357	AY935315		Yale Peabody Museum	YPM	No. 35358		yes	yes		3/26/2003	24.31°N	109.20°W	1349m	dive 543 s6	y	67
CWD142	CWD142	Halistemma rubrum	Pacific	GOCII#216-26Mar03-544-555	9D	AY937358	AY935316		"El Colegio de la Frontera Sur Mexico, Yale Peabody Museum"	"ECOSUR, YPM"	No. 35359		yes	yes		3/26/2003	23.62°N	108.78°W	363m	dive 544 s5	y	68
CWD144	CWD144	Gymnopraia lapislazula		Tib105SS8	9F	AY937359	AY935317		Yale Peabody Museum	YPM	No. 35360		yes	yes		1/13/2000	36.70°N	122.04°W	420m	blue siph	y	70
CWD145	CWD145	Lensia conoidea		411SS10	9G	AY937360	AY935318		Yale Peabody Museum	YPM	No. 35361		yes	yes		3/22/2002	36.72°N	122.07°W	350m	dive 411 ss10	y	71
CWD146	CWD146	Erenna sp		531D3	9H	AY937361	AY935319		Yale Peabody Museum	YPM	No. 35362		yes	yes		3/13/2003	24.32°N	109.2°W	910m	dive 531 d3	y	72
PORPITA	CWD147	Porpita porpita		23III-03Trawl11GOC#148	10A		AY935322		(none)					none		3/27/2003	24.32°N	109.2°W	0-100m	Trawl 17	y	73
VELELLA	CWD148	Velella velella		WF7/19/03	10B		AY935323		(none)					none		7/19/2003	36.60°N	123.77°W	530.7m	dive 596 	y	74
CWD151	CWD151	Vogtia pentacantha		2187ss8		AY937362	AY935320		Yale Peabody Museum	YPM	No. 35363		yes	yes		6-20-2002	36.7°N	122.05°W	617	voucher not found	y	77
BAE	CWD152	Bargmannia elongata		MBARI334			AY935321		Yale Peabody Museum	YPM	No. 35364		yes	yes		7/17/2001	36.33°N	122.9°W	918		y	78
CWD149	CWD149	Hydractinia symbiolongicarpus		Buss411-7	10C	9/29/03 band															n	75
PHYSALIA	AF358065	Physalia physalis				x															y	79
PORPITA	AF358086	Porpita porpita				x															y	80
VELELLA	AF358087	Velella velella				x															y	81
STAURO	AF358084	Staurocladia wellingtoni				x															y	82
HYDRA	AF358080	Hydra				x															y	83
STAURO	AJ580934	Staurocladia wellingtoni					x														y	84
HYDRA	AF100773	Hydra					x														y	85
CWD13	CWD13	Lilyopsis rosea		VF041503	2E	x	p		YPM							4/15/2003			BW			13
CWD14	CWD14	Lychnagalma urticularia		JSLII3268-D8	2F	p	x		YPM										690			14
CWD15	CWD15	Marrus orthocanna		JSLII3265-D4	2G	n	x		YPM										580			15
CWD22	CWD22	Rosacea cymbiformis		OC368-20-9	3F	x			none								36 38.548	74 23.63	BW			22
CWD23	CWD23	Stephanophyes		OC381-8-26	3G	p	x		Phil							9/19/2002	3700	7351	BW			23
CWD24	CWD24	Sulculeolaria monoica		OC381-9-17	3H				Phil							9/19/2002	3659	7351	BW	Hydra circumcincta		24
CWD107	CWD107	Desmophyes haematogaster		Tib596SS11	5A		x		MBARI								36.22*	123.77				33
CWD108	CWD108	Erenna laciniata		Tib594SS7	5B		failed seq 10/7/03		MBARI								36.21*	122.53		Hydra vulgaris		34
